code,name,calendar_return_2025,management_fee,custody_fee,sales_service_fee,operating_fee_total,avg_amount_wan_2025
159501,纳指ETF嘉实,17.76750330250989,0.5,0.1,0,0.6,27066.16689259259
513100,纳指ETF国泰,16.881522406384274,0.6,0.2,0,0.8,78235.7676798354
513870,纳指ETF富国,16.38044914134742,0.5,0.1,0,0.6,12403.71642674897
159696,纳指ETF易方达,15.898463593854384,0.5,0.1,0,0.6,11828.852772427985
159659,纳斯达克100ETF招商,15.88785046728971,0.5,0.15,0,0.65,30330.57130452675
513390,纳指100ETF博时,15.832875206157237,0.5,0.15,0,0.65,12847.68178436214
513110,纳指ETF华泰柏瑞,14.85683414370611,0.8,0.2,0,1.0,17927.5649872428
159941,纳指ETF广发,14.784727863525582,0.8,0.2,0,1.0,118034.19741399176
159660,纳指ETF汇添富,14.623419461242438,0.5,0.15,0,0.65,13435.312912345678
159513,纳斯达克100ETF大成,13.34792122538293,0.8,0.2,0,1.0,11387.342469547326
513300,纳斯达克ETF华夏,10.31518624641834,0.6,0.2,0,0.8,55927.7577707819
159632,纳斯达克ETF华安,9.670674333507566,0.6,0.2,0,0.8,23746.34380781893
